player,Miss% vs CH,Miss% vs Spin,Miss% vs FB,ChangeMiss%,RISPPull%,FastMiss%,Swing%,HOppFld%,HPull%,LaunchAng,AvgEV,MaxEV,HardHit%,Barrel%,BB%,K%,xSLG,xWOBA,wOBA,PA,AB,BA,OBP,SLG,OPS,H,1B,2B,3B,HR
Lebron,44.0%,28.8%,17.9%,45.1%,42.0%,17.9%,45.1%,18.8%,44.2%,17.8,91.1,110.5,51%,29.0%,12.5%,24.2%,.407,.332,.441,281,231,.316,.421,.636,1.058,73,36,18,1,18
Hodo,35.1%,33.9%,14.4%,33.3%,48.8%,14.4%,34.9%,23.1%,41.3%,14.9,94.9,115.9,60%,30.4%,12.7%,23.6%,.423,.359,.426,259,205,.283,.425,.576,1.000,58,31,9,3,15
Mizell,14.0%,18.2%,24.5%,14.6%,42.4%,24.5%,36.0%,23.1%,35.2%,11.1,90.0,109.3,45%,21.3%,15.6%,23.4%,.320,.317,.341,192,157,.229,.370,.382,.752,36,24,6,0,6
Snell,23.8%,7.0%,6.7%,25.0%,33.8%,6.7%,43.3%,21.0%,37.4%,9.1,91.1,111.6,54%,25.9%,14.6%,6.9%,.444,.366,.439,261,212,.363,.464,.575,1.039,77,53,13,1,10
Staton,53.3%,25.6%,31.7%,50.0%,50.0%,31.7%,53.1%,15.6%,42.2%,16.1,88.8,107.4,48%,30.2%,5.1%,33.3%,.392,.307,.375,117,104,.269,.342,.538,.880,28,14,7,0,7
Neal,60.0%,29.7%,17.0%,58.3%,20.0%,17.0%,41.5%,24.2%,34.1%,8.1,87.0,109.8,35%,18.2%,17.6%,24.2%,.307,.311,.328,165,128,.219,.373,.336,.709,28,19,6,0,3
Torres,47.3%,23.5%,33.6%,46.9%,35.1%,33.6%,42.0%,21.3%,40.9%,17.4,90.0,113.9,43%,19.8%,13.5%,31.9%,.308,.305,.372,260,212,.255,.392,.443,.836,54,37,5,1,11
Norton,50.0%,10.6%,9.8%,45.5%,35.5%,9.8%,45.3%,25.0%,29.6%,13.1,88.9,109.5,45%,25.9%,7.0%,19.7%,.376,.309,.329,157,138,.232,.318,.435,.753,32,18,7,0,7
Fowler,20.3%,13.1%,12.0%,18.3%,43.3%,12.0%,43.4%,14.7%,41.1%,12.9,86.7,105.0,37%,20.0%,12.4%,13.8%,.331,.326,.349,283,236,.267,.381,.394,.775,63,47,9,0,7
Plattner,44.4%,7.5%,28.2%,47.1%,50.0%,28.2%,42.3%,12.7%,42.9%,5.7,88.4,109.0,43%,21.3%,12.7%,23.5%,.215,.241,.336,102,87,.264,.363,.391,.754,23,14,8,0,1
Bonomolo Jr.,38.6%,10.0%,15.6%,40.5%,40.8%,15.6%,37.7%,17.8%,47.9%,15.8,89.4,108.1,42%,23.5%,15.4%,17.7%,.275,.285,.403,260,209,.311,.416,.526,.943,65,38,17,2,8
Williamson,0.0%,-,0.0%,0.0%,0.0%,0.0%,33.3%,0.0%,0.0%,-29.9,79.8,79.8,0%,0.0%,50.0%,0.0%,.121,.402,.349,2,1,.000,.500,.000,.500,0,0,0,0,0
Modugno,-,-,100.0%,-,-,100.0%,20.0%,-,-,-,-,-,-,-,100.0%,0.0%,-,.697,.697,1,0,-,1.000,-,1.000,0,0,0,0,0
Young Jr.,60.0%,25.0%,16.0%,60.0%,66.7%,16.0%,41.2%,13.3%,46.7%,0.5,83.5,102.3,46%,15.4%,4.0%,28.0%,.288,.273,.170,25,22,.136,.208,.136,.345,3,3,0,0,0
Griggs,33.3%,-,0.0%,33.3%,0.0%,0.0%,40.0%,0.0%,0.0%,34.6,53.1,53.1,0%,0.0%,0.0%,50.0%,.038,.033,.000,2,2,.000,.000,.000,.000,0,0,0,0,0
Steele,25.0%,33.3%,18.2%,25.0%,66.7%,18.2%,45.1%,33.3%,33.3%,12.8,77.7,106.0,33%,33.3%,0.0%,25.0%,.497,.306,.421,12,12,.333,.333,.667,1.000,4,2,1,0,1
