player,IP,RA9-ERA,ERA,RA/9,WHIP,FIP,xFIP_TM,wOBA,xWOBA,K%,BB%,K%-BB%,CSW%,FPStk%,InZone%,Chase%,HardHit%,Barrel%,GB/FB
Ozmer,38.1,0.00,3.29,3.29,1.17,4.06,3.81,.283,.267,29.1%,11.5%,17.6%,35.9%,58.2%,46.9%,26.4%,37%,19.5%,0.65
Banks,19.1,0.93,3.72,4.66,1.24,5.71,4.13,.301,.270,22.0%,12.2%,9.8%,30.1%,64.3%,51.4%,21.0%,37%,15.7%,0.36
Myers,41.0,0.22,2.63,2.85,1.00,2.84,2.75,.262,.229,34.5%,8.3%,26.2%,37.0%,61.4%,49.1%,24.2%,40%,22.6%,0.42
Fay,55.2,1.29,4.69,5.98,1.29,4.44,3.90,.320,.254,17.9%,4.9%,13.0%,35.7%,67.1%,48.9%,30.4%,45%,22.2%,0.99
Morris,20.1,1.33,6.64,7.97,1.48,4.85,4.80,.348,.302,22.0%,13.2%,8.8%,27.3%,54.4%,38.8%,28.4%,38%,17.0%,0.90
Adams,65.0,0.42,5.54,5.95,1.57,4.87,4.05,.356,.292,21.2%,8.9%,12.3%,29.7%,56.3%,47.1%,25.1%,40%,21.5%,0.63
Buchanan,21.0,-0.00,3.86,3.86,1.62,3.46,4.11,.352,.299,26.5%,12.2%,14.3%,31.7%,58.3%,42.9%,27.2%,41%,16.7%,0.65
Moza,6.2,0.00,9.45,9.45,1.80,5.43,4.39,.361,.305,34.4%,21.9%,12.5%,30.8%,51.6%,29.6%,29.5%,54%,15.4%,1.17
Veasey,3.2,0.00,9.82,9.82,2.45,6.45,7.50,.395,.403,27.3%,27.3%,0.0%,28.4%,50.0%,35.6%,13.4%,50%,37.5%,0.60
Heiberger,34.1,-0.00,4.46,4.46,1.46,3.79,4.02,.328,.257,22.1%,9.7%,12.3%,31.9%,58.7%,47.3%,26.9%,35%,14.3%,1.30
Bradley-Cooney,3.1,-0.00,10.80,10.80,3.00,6.48,6.93,.416,.304,26.3%,36.8%,-10.5%,26.4%,42.1%,40.0%,27.5%,50%,16.7%,1.33
Finateri,28.1,0.95,4.76,5.72,1.52,4.45,4.31,.364,.318,20.5%,6.3%,14.2%,32.6%,59.4%,51.0%,25.4%,39%,19.3%,0.63
Quick,62.0,0.00,3.92,3.92,1.39,3.47,3.66,.324,.280,25.9%,8.9%,17.0%,28.6%,59.2%,44.0%,30.6%,40%,13.9%,1.22
Ball,5.0,0.00,9.00,9.00,2.20,6.58,4.25,.484,.364,23.1%,3.8%,19.2%,41.0%,61.5%,50.0%,23.9%,61%,33.3%,0.58
Alcock,34.1,2.10,6.03,8.13,1.75,6.12,4.38,.392,.316,23.5%,10.5%,13.0%,30.7%,58.9%,43.9%,23.4%,50%,27.2%,0.55
Kittrell,4.2,0.00,9.64,9.64,1.71,4.46,5.17,.299,.297,26.1%,21.7%,4.3%,31.6%,43.5%,41.3%,23.0%,27%,0.0%,1.75
Blackwood,35.2,0.25,6.06,6.31,1.40,4.41,4.21,.353,.295,19.1%,5.1%,14.0%,30.0%,61.1%,44.2%,31.1%,41%,21.4%,0.70
Robertson,9.2,0.00,7.45,7.45,1.24,3.70,3.48,.311,.236,17.5%,5.0%,12.5%,39.8%,67.5%,54.3%,25.4%,41%,20.7%,0.94
Pesci,2.0,0.00,0.00,0.00,0.00,2.68,3.12,.121,.240,33.3%,0.0%,33.3%,23.6%,16.7%,40.0%,6.7%,0%,0.0%,2.00
Bryans,9.0,2.00,10.00,12.00,3.11,6.51,7.66,.423,.352,20.7%,25.9%,-5.2%,29.2%,48.3%,40.1%,18.9%,11%,3.6%,1.15
Ketchum,1.2,0.00,27.00,27.00,3.60,14.58,8.26,.580,.350,23.1%,15.4%,7.7%,43.2%,61.5%,40.0%,42.9%,60%,40.0%,1.00
Lehman,4.1,0.00,14.54,14.54,2.31,4.10,5.87,.418,.323,16.0%,12.0%,4.0%,30.3%,72.0%,42.2%,22.0%,47%,23.5%,0.42
