Player,Primary Focus Metrics,Strength Metric,Goals (measurable),Maintenance
Seals,"Miss% vs FB, Miss% vs CH",Miss% vs Spin,Miss% vs FB: move from 26.4% to ≤ 20.0% | Miss% vs CH: move from 35.7% to ≤ 35.0%,Maintain Miss% vs Spin at 24.6% via weekly checkpoints
Hernandez,"HardHit%, OPS",Miss% vs FB,HardHit%: move from 33.0% to ≥ 35.0% | OPS: raise from 0.498 to ≥ 0.750,Maintain Miss% vs FB at 10.6% via weekly checkpoints
Peer,Miss% vs CH,Barrel%,Miss% vs CH: move from 45.0% to ≤ 35.0%,Maintain Barrel% at 21.3% via weekly checkpoints
Lovich,"Miss% vs FB, Miss% vs CH",Miss% vs Spin,Miss% vs FB: move from 23.3% to ≤ 20.0% | Miss% vs CH: move from 53.2% to ≤ 35.0%,Maintain Miss% vs Spin at 19.8% via weekly checkpoints
Daniels,HardHit%,Miss% vs FB,HardHit%: move from 26.0% to ≥ 35.0%,Maintain Miss% vs FB at 14.5% via weekly checkpoints
Serna,"Miss% vs FB, Miss% vs CH",HardHit%,Miss% vs FB: move from 27.8% to ≤ 20.0% | Miss% vs CH: move from 36.7% to ≤ 35.0%,Maintain HardHit% at 46.0% via weekly checkpoints
Curtis,"Miss% vs CH, HardHit%, Barrel%",Miss% vs FB,Miss% vs CH: move from 50.0% to ≤ 35.0% | HardHit%: move from 33.0% to ≥ 35.0% | Barrel%: move from 0.0% to ≥ 5.0%,Maintain Miss% vs FB at 16.7% via weekly checkpoints
Frost,"Miss% vs FB, OPS",Miss% vs CH,Miss% vs FB: move from 50.0% to ≤ 20.0% | OPS: raise from 0.736 to ≥ 0.750,Maintain Miss% vs CH at 0.0% via weekly checkpoints
Benson,Miss% vs CH,Miss% vs FB,Miss% vs CH: move from 66.7% to ≤ 35.0%,Maintain Miss% vs FB at 9.4% via weekly checkpoints
Basler,"Miss% vs FB, HardHit%, OPS",Miss% vs Spin,Miss% vs FB: move from 23.7% to ≤ 20.0% | HardHit%: move from 16.0% to ≥ 35.0% | OPS: raise from 0.720 to ≥ 0.750,Maintain Miss% vs Spin at 16.7% via weekly checkpoints
Nicoletto,"Miss% vs FB, Miss% vs CH",Miss% vs Spin,Miss% vs FB: move from 19.9% to ≤ 15.0% | Miss% vs CH: move from 29.5% to ≤ 25.0%,Maintain Miss% vs Spin at 11.1% via weekly checkpoints
Macon,HardHit%,Barrel%,HardHit%: move from 32.0% to ≥ 35.0%,Maintain Barrel% at 13.6% via weekly checkpoints
Simpson,"HardHit%, Barrel%",Miss% vs FB,HardHit%: move from 29.0% to ≥ 35.0% | Barrel%: move from 0.0% to ≥ 5.0%,Maintain Miss% vs FB at 0.0% via weekly checkpoints
Lawrence,"HardHit%, OPS",Miss% vs FB,HardHit%: move from 13.0% to ≥ 35.0% | OPS: raise from 0.444 to ≥ 0.750,Maintain Miss% vs FB at 15.1% via weekly checkpoints
Patterson,"HardHit%, OPS",Barrel%,HardHit%: move from 30.0% to ≥ 35.0% | OPS: raise from 0.697 to ≥ 0.750,Maintain Barrel% at 15.5% via weekly checkpoints
Picarelli,"Miss% vs FB, Miss% vs CH",Miss% vs Spin,Miss% vs FB: move from 33.9% to ≤ 20.0% | Miss% vs CH: move from 40.0% to ≤ 35.0%,Maintain Miss% vs Spin at 21.4% via weekly checkpoints
Knutson,"HardHit%, OPS",Miss% vs FB,HardHit%: move from 24.0% to ≥ 35.0% | OPS: raise from 0.700 to ≥ 0.750,Maintain Miss% vs FB at 12.2% via weekly checkpoints
Malpass,"Miss% vs FB, OPS",Miss% vs CH,Miss% vs FB: move from 40.0% to ≤ 20.0% | OPS: raise from 0.500 to ≥ 0.750,Maintain Miss% vs CH at 0.0% via weekly checkpoints
Callaway,"Miss% vs FB, Miss% vs Spin, HardHit%",Barrel%,Miss% vs FB: move from 22.2% to ≤ 20.0% | Miss% vs Spin: move from 100.0% to ≤ 35.0% | HardHit%: move from 20.0% to ≥ 35.0%,Maintain Barrel% at 20.0% via weekly checkpoints
