Player,Miss% vs FB,Miss% vs Spin,Miss% vs CH,HardHit%,Barrel%,OPS
Seals,Development,Elite,Development,Elite,Elite,Solid
Hernandez,Elite,Elite,Elite,Development,Solid,Development
Peer,Solid,Solid,Development,Solid,Elite,Elite
Lovich,Development,Elite,Development,Solid,Elite,Elite
Daniels,Elite,Elite,Solid,Development,Elite,Solid
Serna,Development,Solid,Development,Elite,Elite,Solid
Curtis,Solid,Solid,Development,Development,Development,Development
Frost,Development,Solid,Elite,Elite,Elite,Development
Benson,Elite,Solid,Development,Elite,Elite,Elite
Basler,Development,Elite,Solid,Development,Elite,Development
Nicoletto,Solid,Elite,Solid,Elite,Elite,Solid
Macon,Solid,Solid,Solid,Development,Elite,Solid
Simpson,Elite,Elite,Elite,Development,Development,Elite
Lawrence,Solid,Solid,Solid,Development,Solid,Development
Patterson,Solid,Solid,Solid,Development,Elite,Development
Picarelli,Development,Elite,Development,Solid,Elite,Elite
Knutson,Elite,Elite,Solid,Development,Solid,Development
Malpass,Development,N/A,Elite,N/A,N/A,Development
Callaway,Development,Development,N/A,Development,Elite,Solid
