Rank,team,date,opponent,result,Miss% vs CH,Miss% vs Spin,Miss% vs FB,ChangeMiss%,RISPPull%,FastMiss%,Swing%,HOppFld%,HPull%,LaunchAng,AvgEV,MaxEV,HardHit%,Barrel%,BB%,K%,xSLG,xWOBA,wOBA,PA,AB,BA,OBP,SLG,OPS,H,1B,2B,3B,HR
1,MIZZ,2025-05-20 01:00:00,ALA,L 1-4,100.0%,0.0%,0.0%,100.0%,-,0.0%,54.5%,0.0%,33.3%,12.3,99.7,107.8,67%,0.0%,0.0%,20.0%,.244,.316,.500,5,4,.500,.600,.500,1.100,2,2,0,0,0
2,MIZZ,2025-05-17 01:00:00,MSST,L 1-12,100.0%,0.0%,0.0%,100.0%,-,0.0%,30.8%,0.0%,50.0%,-9.1,100.1,102.7,100%,0.0%,0.0%,33.3%,.231,.203,.591,3,3,.667,.667,.667,1.333,2,2,0,0,0
3,MIZZ,2025-05-16 01:00:00,MSST,L 3-13,0.0%,100.0%,0.0%,0.0%,-,0.0%,35.0%,-,-,-,-,-,-,-,25.0%,75.0%,.000,.174,.174,4,3,.000,.250,.000,.250,0,0,0,0,0
4,MIZZ,2025-05-15 01:00:00,MSST,L 7-25,-,0.0%,50.0%,-,0.0%,50.0%,54.5%,33.3%,0.0%,-7.9,81.0,101.4,67%,33.3%,20.0%,20.0%,.432,.411,.545,5,4,.250,.400,1.000,1.400,1,0,0,0,1
5,MIZZ,2025-05-11 01:00:00,TXAM,W 10-1,-,0.0%,40.0%,-,0.0%,40.0%,60.0%,66.7%,0.0%,16.2,101.6,108.3,100%,66.7%,0.0%,40.0%,.609,.350,.972,5,5,.600,.600,1.800,2.400,3,0,1,1,1
6,MIZZ,2025-05-10 01:00:00,TXAM,W 4-1,60.0%,0.0%,33.3%,60.0%,-,33.3%,57.9%,0.0%,0.0%,9.9,76.2,92.4,0%,0.0%,0.0%,40.0%,.137,.121,.532,5,5,.600,.600,.600,1.200,3,3,0,0,0
7,MIZZ,2025-05-09 01:00:00,TXAM,W 9-6,62.5%,0.0%,0.0%,62.5%,50.0%,0.0%,65.4%,0.0%,66.7%,-19.5,74.7,107.7,33%,33.3%,0.0%,40.0%,.769,.420,.583,5,5,.400,.400,1.000,1.400,2,1,0,0,1
8,MIZZ,2025-05-06 01:00:00,KU,L 5-6,-,-,40.0%,-,-,40.0%,40.0%,0.0%,100.0%,21.1,107.5,107.5,100%,100.0%,20.0%,60.0%,.448,.332,.545,5,4,.250,.400,1.000,1.400,1,0,0,0,1
9,MIZZ,2025-05-04 01:00:00,UGA,L 2-4,-,50.0%,-,-,0.0%,-,40.0%,0.0%,0.0%,14.4,83.4,99.6,50%,50.0%,25.0%,0.0%,.060,.211,.396,4,3,.333,.500,.333,.833,1,1,0,0,0
10,MIZZ,2025-05-03 01:00:00,UGA,L 2-5,-,0.0%,-,-,0.0%,-,53.3%,0.0%,33.3%,18.8,85.2,87.0,0%,0.0%,25.0%,0.0%,.087,.226,.174,4,3,.000,.250,.000,.250,0,0,0,0,0
11,MIZZ,2025-05-02 01:00:00,UGA,L 2-9,-,0.0%,0.0%,-,0.0%,0.0%,73.3%,0.0%,25.0%,0.5,86.8,101.4,50%,25.0%,0.0%,20.0%,.296,.208,.177,5,4,.250,.200,.250,.450,1,1,0,0,0
12,MIZZ,2025-04-29 01:00:00,KU,L 3-9,-,0.0%,50.0%,-,100.0%,50.0%,47.4%,0.0%,33.3%,-41.5,63.6,88.2,0%,0.0%,20.0%,0.0%,.245,.415,.640,5,3,.667,.800,.667,1.467,2,2,0,0,0
13,MIZZ,2025-04-26 01:00:00,ALA,L 1-12,50.0%,0.0%,40.0%,50.0%,-,40.0%,71.4%,0.0%,0.0%,-13.1,98.5,98.5,100%,0.0%,0.0%,66.7%,.043,.038,.295,3,3,.333,.333,.333,.667,1,1,0,0,0
14,MIZZ,2025-04-25 01:00:00,ALA,L 3-7,0.0%,0.0%,50.0%,0.0%,0.0%,50.0%,45.5%,25.0%,25.0%,8.7,91.1,104.4,25%,0.0%,0.0%,20.0%,.278,.243,.177,5,5,.200,.200,.200,.400,1,1,0,0,0
15,MIZZ,2025-04-24 01:00:00,ALA,L 5-7,-,0.0%,0.0%,-,0.0%,0.0%,72.7%,50.0%,25.0%,-18.7,75.1,88.5,0%,0.0%,0.0%,20.0%,.160,.123,.177,5,5,.200,.200,.200,.400,1,1,0,0,0
16,MIZZ,2025-04-22 01:00:00,MOSU,L 0-11,-,20.0%,0.0%,-,-,0.0%,47.4%,100.0%,0.0%,58.9,88.2,88.2,0%,0.0%,66.7%,0.0%,.023,.471,.465,3,1,.000,.667,.000,.667,0,0,0,0,0
17,MIZZ,2025-04-18 01:00:00 (2),OKLA,L 1-12,-,-,0.0%,-,-,0.0%,37.5%,100.0%,0.0%,11.1,90.9,90.9,0%,0.0%,50.0%,0.0%,.808,.701,.792,2,1,1.000,1.000,1.000,2.000,1,1,0,0,0
18,MIZZ,2025-04-18 01:00:00,OKLA,L 7-17,-,50.0%,20.0%,-,-,20.0%,50.0%,0.0%,100.0%,13.8,103.4,103.4,100%,100.0%,40.0%,40.0%,.340,.446,.529,5,3,.333,.600,.667,1.267,1,0,1,0,0
19,MIZZ,2025-04-17 01:00:00,OKLA,L 4-17,33.3%,-,100.0%,33.3%,50.0%,100.0%,58.3%,66.7%,33.3%,15.5,80.1,92.7,0%,0.0%,0.0%,25.0%,.159,.103,.222,4,3,.333,.250,.333,.583,1,1,0,0,0
20,MIZZ,2025-04-15 01:00:00,MOSU,W 10-9,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,25.0%,25.0%,-2.2,96.9,112.5,75%,50.0%,20.0%,0.0%,.584,.355,.902,5,4,.500,.600,1.750,2.350,2,0,0,1,1
21,MIZZ,2025-04-12 01:00:00 (2),FLA,L 2-3,0.0%,0.0%,-,0.0%,0.0%,-,36.4%,50.0%,50.0%,35.3,97.9,99.8,100%,50.0%,33.3%,0.0%,.265,.375,.232,3,2,.000,.333,.000,.333,0,0,0,0,0
22,MIZZ,2025-04-12 01:00:00,FLA,L 0-5,0.0%,-,20.0%,0.0%,-,20.0%,63.6%,50.0%,0.0%,8.9,76.5,77.1,0%,0.0%,0.0%,33.3%,.132,.115,.295,3,3,.333,.333,.333,.667,1,1,0,0,0
23,MIZZ,2025-04-10 01:00:00,FLA,L 2-11,-,0.0%,25.0%,-,-,25.0%,41.7%,0.0%,50.0%,-1.7,90.9,97.0,50%,50.0%,0.0%,25.0%,.157,.268,.182,4,3,.000,.250,.000,.250,0,0,0,0,0
24,MIZZ,2025-04-02 01:00:00,ARPB,W 8-7,-,0.0%,33.3%,-,0.0%,33.3%,30.4%,50.0%,25.0%,14.5,89.0,102.8,25%,0.0%,33.3%,0.0%,.452,.432,.317,6,4,.250,.500,.250,.750,1,1,0,0,0
25,MIZZ,2025-04-01 01:00:00,ARPB,W 25-10,-,0.0%,20.0%,-,100.0%,20.0%,33.3%,0.0%,50.0%,14.7,108.3,109.6,100%,75.0%,33.3%,0.0%,1.644,.900,.988,6,4,.750,.833,2.000,2.833,3,0,2,0,1
26,MIZZ,2025-03-29 01:00:00 (2),TEX,L 1-7,0.0%,0.0%,100.0%,0.0%,-,100.0%,50.0%,66.7%,33.3%,0.4,92.8,103.6,33%,0.0%,0.0%,25.0%,.096,.077,.000,4,4,.000,.000,.000,.000,0,0,0,0,0
27,MIZZ,2025-03-29 01:00:00,TEX,L 4-7,25.0%,0.0%,0.0%,50.0%,-,0.0%,47.6%,0.0%,66.7%,4.3,94.1,110.6,67%,0.0%,0.0%,40.0%,.339,.286,.355,5,5,.400,.400,.400,.800,2,2,0,0,0
28,MIZZ,2025-03-28 01:00:00,TEX,L 4-15,100.0%,0.0%,100.0%,100.0%,-,100.0%,100.0%,0.0%,50.0%,-20.6,73.9,87.9,0%,0.0%,0.0%,0.0%,.114,.101,.000,2,2,.000,.000,.000,.000,0,0,0,0,0
29,MIZZ,2025-03-25 01:00:00,ILL,W 11-9,-,-,-,-,-,-,66.7%,-,-,-,-,-,-,-,0.0%,0.0%,-,.000,.760,5,5,.600,.600,1.200,1.800,3,2,0,0,1
