date,inn,count,outs,PitchHand,BatterHand,Pitcher,Batter,VertApprAngle,Tilt,SpinDir,PZ,PX,ManOn3rd,ManOn2nd,ManOn1st,IndVertBrk,HorzBrk,HorzApprAngle,FBDst,Extension,ExitDir,ABResult,type,pitchResult,Vel,Spin,ExitVel,LaunchAng,pCallStrk%
2025-05-20 01:00:00,Top 1,0-0,0,R,R,T. Fay,J. Lovich,-6.26,2:20,250.0,2.47233,0.14499,,,,6.3,14.6,-1.22,-,6.83,-,S,Fastball,Strike Looking,91.2,2433.3,-,-,98.7%
2025-05-20 01:00:00,Top 1,0-1,0,R,R,T. Fay,J. Lovich,-6.25,2:31,255.3,2.51071,0.05794,,,,5.2,16.0,-0.93,144.2,6.74,7.5,S,Sinker,Single on a Ground Ball,92.5,2467.9,107.8,-1.1,99.3%
2025-05-20 01:00:00,Top 1,0-0,0,R,R,T. Fay,P. Seals,-7.78,8:37,78.6,2.19655,0.62407,,,1,-1.1,-11.1,-4.52,-,6.36,-,K,Slider,Strike Looking,80.1,2685.7,-,-,97.5%
2025-05-20 01:00:00,Top 1,0-1,0,R,R,T. Fay,P. Seals,-6.44,9:24,102.0,3.11075,-0.2666,,,1,3.9,-12.9,-3.89,-,6.55,-,K,Changeup,Strike Looking,78.5,2695.1,-,-,95.9%
2025-05-20 01:00:00,Top 1,0-2,0,R,R,T. Fay,P. Seals,-7.60,8:53,86.4,2.25516,1.82561,,,1,0.5,-14.8,-6.15,-,6.39,-,K,Slider,Strikeout (Swinging),81.1,2773.8,-,-,0.0%
2025-05-20 01:00:00,Top 1,0-0,1,R,L,T. Fay,C. Nicoletto,-5.37,2:14,247.2,3.28282,-0.40319,,,1,6.9,14.3,-0.77,358.4,6.82,-6.7,IP_OUT,Sinker,Fly Out,91.4,2433.0,96.5,26.0,82.7%
2025-05-20 01:00:00,Top 1,0-0,2,R,L,T. Fay,M. Serna,-6.65,9:22,101.2,2.86902,0.88926,,,1,4.0,-13.4,-5.44,-,6.12,-,K,Sinker,Ball,79.3,2665.9,-,-,56.2%
2025-05-20 01:00:00,Top 1,1-0,2,R,L,T. Fay,M. Serna,-4.74,1:27,223.7,3.13868,-0.80367,,,1,16.1,14.4,-0.27,-,6.79,-163.9,K,Fastball,Foul,92.1,2466.0,75.2,30.2,72.5%
2025-05-20 01:00:00,Top 1,1-1,2,R,L,T. Fay,M. Serna,-5.16,12:00,180.2,3.76881,-0.47298,,,1,6.1,0.0,-2.14,-,6.80,-,K,Cutter,Ball,86.6,2466.6,-,-,2.5%
2025-05-20 01:00:00,Top 1,2-1,2,R,L,T. Fay,M. Serna,-6.12,12:14,187.1,2.79823,0.00961,,,1,6.4,0.7,-2.76,-,6.78,-,K,Sinker,Foul,86.2,2556.7,-,-,98.6%
2025-05-20 01:00:00,Top 1,2-2,2,R,L,T. Fay,M. Serna,-3.81,1:23,221.3,3.82313,-0.92594,,,1,16.1,13.3,-0.27,-,6.81,-,K,Fastball,Strikeout (Swinging),95.1,2595.9,-,-,0.4%
2025-05-20 01:00:00,Bot 1,0-0,0,R,L,S. Horn,B. Fowler,-6.10,1:55,237.3,1.81404,0.37873,,,,9.4,13.3,-1.66,-,6.96,-,IP_OUT,Fastball,Strike Looking,94.5,2123.1,-,-,93.7%
2025-05-20 01:00:00,Bot 1,0-1,0,R,L,S. Horn,B. Fowler,-6.03,1:58,239.1,1.8487,-0.35476,,,,9.3,14.1,-0.79,-,6.89,-,IP_OUT,Fastball,Strike Looking,96.5,2193.6,-,-,94.4%
2025-05-20 01:00:00,Bot 1,0-2,0,R,L,S. Horn,B. Fowler,-5.81,2:03,241.4,1.91219,-0.16656,,,,9.5,15.7,-0.98,140.9,6.82,-5.6,IP_OUT,Fastball,Ground Out,96.0,2196.9,102.3,0.9,97.6%
2025-05-20 01:00:00,Bot 1,0-0,1,R,R,S. Horn,J. Lebron,-5.39,1:57,238.4,2.39062,1.00456,,,,10.2,14.9,-2.27,-,6.89,-,BB,Splitter,Strike Looking,95.2,2149.1,-,-,78.4%
2025-05-20 01:00:00,Bot 1,0-1,1,R,R,S. Horn,J. Lebron,-7.29,9:07,93.5,1.96821,0.18436,,,,1.9,-11.3,-3.67,-,6.69,-,BB,Slider,Strike Looking,84.2,2021.3,-,-,97.9%
2025-05-20 01:00:00,Bot 1,0-2,1,R,R,S. Horn,J. Lebron,-9.18,7:39,49.4,0.71255,2.20062,,,,-4.9,-7.0,-5.38,-,6.58,-,BB,Slider,Ball,85.8,2263.8,-,-,0.0%
2025-05-20 01:00:00,Bot 1,1-2,1,R,R,S. Horn,J. Lebron,-8.13,8:13,66.4,1.6563,1.1574,,,,-4.5,-12.8,-5.02,-,6.49,-,BB,Slider,Ball,84.8,2225.0,-,-,11.0%
2025-05-20 01:00:00,Bot 1,2-2,1,R,R,S. Horn,J. Lebron,-5.56,1:37,228.7,1.83079,0.84215,,,,13.2,14.0,-1.97,-,7.00,-,BB,Fastball,Ball,97.6,2202.5,-,-,81.5%
2025-05-20 01:00:00,Bot 1,3-2,1,R,R,S. Horn,J. Lebron,-6.08,1:44,231.9,1.45333,0.29562,,,,12.0,14.1,-1.53,-,7.05,-,BB,Fastball,Walk,96.6,2176.6,-,-,46.4%
