player,Miss% vs CH,Miss% vs Spin,Miss% vs FB,ChangeMiss%,RISPPull%,FastMiss%,Swing%,HOppFld%,HPull%,LaunchAng,AvgEV,MaxEV,HardHit%,Barrel%,BB%,K%,xSLG,xWOBA,wOBA,PA,AB,BA,OBP,SLG,OPS,H,1B,2B,3B,HR
Seals,35.7%,24.6%,26.4%,30.8%,25.9%,26.4%,41.5%,31.5%,30.4%,2.0,92.0,111.5,56%,24.4%,9.9%,33.7%,.324,.291,.360,172,148,.291,.374,.446,.820,43,30,8,0,5
Hernandez,7.7%,16.7%,10.6%,8.3%,23.1%,10.6%,44.5%,31.4%,34.3%,7.2,85.8,113.9,33%,8.6%,9.4%,17.9%,.222,.273,.248,106,88,.170,.305,.193,.498,15,13,2,0,0
Peer,45.0%,27.1%,18.8%,45.6%,35.7%,18.8%,48.2%,25.8%,36.7%,3.9,86.3,111.6,41%,21.3%,7.8%,23.0%,.323,.315,.379,204,164,.299,.411,.445,.856,49,36,7,1,5
Lovich,53.2%,19.8%,23.3%,56.8%,39.0%,23.3%,51.7%,24.2%,37.1%,1.8,87.6,112.5,43%,20.2%,9.3%,24.1%,.378,.311,.442,216,185,.357,.430,.622,1.052,66,44,7,3,12
Daniels,34.0%,15.6%,14.5%,34.7%,28.1%,14.5%,51.3%,22.4%,31.8%,13.8,87.3,107.1,26%,13.2%,5.1%,21.2%,.265,.267,.339,137,114,.263,.353,.421,.774,30,22,2,2,4
Serna,36.7%,31.9%,27.8%,35.1%,27.9%,27.8%,44.4%,26.5%,29.2%,20.4,88.0,107.8,46%,26.9%,8.1%,29.7%,.335,.294,.343,209,177,.237,.341,.441,.782,42,25,7,1,9
Curtis,50.0%,33.3%,16.7%,50.0%,0.0%,16.7%,48.6%,25.0%,0.0%,-2.6,70.2,97.6,33%,0.0%,20.0%,40.0%,.028,.174,.155,10,7,.000,.222,.000,.222,0,0,0,0,0
Frost,0.0%,33.3%,50.0%,0.0%,0.0%,50.0%,40.2%,60.0%,20.0%,-4.0,96.4,105.7,75%,50.0%,25.0%,45.0%,.112,.265,.362,20,14,.214,.450,.286,.736,3,2,1,0,0
Benson,66.7%,29.4%,9.4%,66.7%,20.0%,9.4%,39.8%,26.3%,47.4%,8.1,91.9,109.4,64%,27.3%,15.0%,35.0%,.636,.452,.405,40,34,.324,.425,.529,.954,11,7,2,1,1
Basler,25.9%,16.7%,23.7%,25.9%,44.0%,23.7%,36.0%,26.7%,40.0%,9.7,80.1,103.0,16%,10.7%,10.0%,29.2%,.235,.294,.336,120,92,.228,.383,.337,.720,21,14,5,1,1
Nicoletto,29.5%,11.1%,19.9%,31.0%,42.9%,19.9%,50.0%,26.9%,34.5%,14.8,88.0,107.3,45%,22.8%,5.8%,17.0%,.305,.267,.342,171,150,.260,.339,.447,.786,39,24,8,1,6
Macon,27.3%,27.3%,19.4%,30.0%,38.9%,19.4%,42.0%,22.4%,28.4%,4.7,86.8,122.4,32%,13.6%,13.9%,25.2%,.252,.285,.346,115,92,.272,.391,.370,.760,25,20,2,2,1
Simpson,0.0%,0.0%,0.0%,0.0%,42.9%,0.0%,47.2%,33.3%,33.3%,-15.6,81.2,101.9,29%,0.0%,0.0%,0.0%,.241,.200,.390,12,12,.333,.333,.583,.917,4,3,0,0,1
Lawrence,33.3%,31.6%,15.1%,33.3%,42.9%,15.1%,44.1%,20.0%,37.5%,-4.0,82.5,100.0,13%,6.5%,8.2%,23.0%,.168,.200,.214,61,55,.182,.262,.182,.444,10,10,0,0,0
Patterson,27.8%,32.6%,19.5%,23.5%,34.6%,19.5%,40.9%,41.7%,25.0%,8.0,87.0,107.8,30%,15.5%,8.0%,32.8%,.214,.215,.305,125,112,.232,.304,.393,.697,26,14,8,2,2
Picarelli,40.0%,21.4%,33.9%,40.0%,37.5%,33.9%,45.0%,26.5%,38.2%,5.5,86.4,107.4,39%,22.6%,12.5%,26.8%,.364,.300,.414,56,49,.306,.393,.592,.985,15,9,2,0,4
Knutson,28.1%,5.3%,12.2%,23.3%,48.4%,12.2%,49.1%,33.3%,27.5%,3.7,79.5,104.7,24%,7.9%,6.9%,16.8%,.244,.251,.312,173,146,.253,.337,.363,.700,37,26,8,1,2
Malpass,0.0%,-,40.0%,0.0%,100.0%,40.0%,30.4%,0.0%,100.0%,-,-,-,-,-,50.0%,25.0%,.000,.349,.349,4,2,.000,.500,.000,.500,0,0,0,0,0
Callaway,-,100.0%,22.2%,-,0.0%,22.2%,37.8%,66.7%,0.0%,42.6,79.7,102.8,20%,20.0%,0.0%,40.0%,.222,.189,.339,10,10,.300,.300,.500,.800,3,1,2,0,0
