player,IP,RA9-ERA,ERA,RA/9,WHIP,FIP,xFIP_TM,wOBA,xWOBA,K%,BB%,K%-BB%,CSW%,FPStk%,InZone%,Chase%,HardHit%,Barrel%,GB/FB
Vaughn,13.2,1.32,9.22,10.54,2.49,3.62,4.26,.436,.301,26.0%,13.0%,13.0%,35.8%,60.5%,43.2%,26.3%,30%,14.0%,1.00
Lohse,33.1,1.35,6.48,7.83,1.38,5.67,4.15,.356,.295,27.1%,9.0%,18.1%,33.8%,65.6%,43.0%,33.9%,37%,13.3%,0.53
Jacobi,46.2,0.58,10.03,10.61,1.91,5.75,5.20,.425,.355,21.7%,10.2%,11.5%,32.4%,50.4%,44.9%,19.9%,46%,21.0%,0.83
Lovett,45.2,0.20,6.31,6.50,1.55,5.56,5.23,.357,.300,15.6%,10.1%,5.5%,27.6%,57.6%,45.5%,24.5%,33%,12.6%,1.31
McDevitt,11.1,0.00,9.53,9.53,1.68,5.74,3.91,.423,.307,26.4%,7.5%,18.9%,34.2%,60.4%,46.6%,25.2%,64%,30.3%,0.43
Wissler,3.2,0.00,4.91,4.91,0.82,3.18,4.11,.257,.247,18.8%,0.0%,18.8%,29.8%,50.0%,44.3%,17.6%,27%,9.1%,0.38
Smith,3.2,0.00,2.45,2.45,1.09,4.54,6.65,.367,.446,13.3%,6.7%,6.7%,30.8%,62.5%,39.3%,29.7%,40%,0.0%,0.43
Smith,26.2,1.35,9.45,10.80,2.21,5.95,4.87,.443,.320,21.9%,10.3%,11.6%,36.0%,56.3%,45.4%,25.0%,43%,27.7%,0.47
Lucas,50.1,0.89,8.94,9.83,1.99,6.95,5.02,.421,.338,21.7%,12.3%,9.5%,30.1%,56.3%,45.3%,23.5%,44%,25.9%,0.72
Neubeck,17.1,1.56,16.62,18.17,3.00,11.66,7.99,.565,.425,14.2%,15.1%,-0.9%,27.5%,61.7%,43.8%,23.8%,44%,27.1%,0.39
Horn,10.2,0.00,4.22,4.22,1.41,6.08,5.42,.339,.378,28.6%,16.3%,12.2%,35.6%,51.0%,46.8%,19.2%,38%,20.8%,0.60
Libbert,53.2,0.84,6.04,6.88,1.64,4.71,4.58,.346,.293,21.6%,12.9%,8.6%,29.5%,60.2%,47.6%,25.6%,34%,16.9%,0.55
Kehlenbrink,34.0,0.53,10.06,10.59,1.79,9.38,5.59,.461,.343,23.0%,10.9%,12.1%,27.4%,55.4%,38.5%,29.7%,46%,27.1%,0.32
Drew,34.0,0.79,6.09,6.88,1.62,6.47,5.16,.389,.320,16.0%,8.0%,8.0%,31.1%,64.2%,47.6%,24.8%,38%,15.6%,0.95
McCartney,11.0,0.00,23.73,23.73,3.55,9.09,8.85,.566,.391,15.2%,15.2%,0.0%,26.3%,51.9%,33.5%,24.5%,35%,15.0%,0.80
Green,26.1,0.00,6.49,6.49,2.05,8.53,7.19,.438,.383,11.5%,20.0%,-8.5%,25.4%,55.7%,40.4%,24.3%,41%,20.5%,0.58
Kirchhoff,11.2,1.54,23.14,24.69,3.51,12.95,10.31,.533,.432,11.9%,21.4%,-9.5%,28.5%,48.8%,36.3%,18.9%,38%,22.0%,0.55
Christal,9.2,0.93,15.83,16.76,3.10,8.14,8.17,.464,.346,16.9%,21.5%,-4.6%,32.7%,44.6%,30.7%,21.1%,38%,7.7%,0.52
Merchant,1.1,6.75,54.00,60.75,8.25,19.68,23.76,.595,.565,6.3%,43.8%,-37.5%,29.9%,50.0%,34.8%,4.4%,57%,42.9%,0.17
