Rank,team,Miss% vs CH,Miss% vs Spin,Miss% vs FB,ChangeMiss%,RISPPull%,FastMiss%,Swing%,HOppFld%,HPull%,LaunchAng,ExitVel,HardHit%,Barrel%,BB%,K%,xSLG,xWOBA,wOBA,PA,AB,BA,OBP,SLG,OPS,H,1B,2B,3B,HR
1,Alabama,37.0%,19.6%,18.2%,36.7%,40.5%,18.2%,41.6%,19.8%,40.1%,13.2,89.7,46%,24.2%,12.9%,21.2%,.352,.320,.382,2379,1956,.278,.394,.485,.879,544,336,106,8,94
1,Texas A&M,34.7%,23.0%,18.7%,35.1%,40.4%,18.7%,40.7%,23.0%,40.4%,14.5,89.2,44%,21.1%,12.9%,23.6%,.350,.311,.369,2198,1808,.260,.377,.472,.849,470,282,87,6,95
1,Arkansas,29.3%,21.5%,20.4%,28.7%,41.5%,20.4%,42.7%,23.3%,40.3%,9.6,89.2,49%,23.3%,12.6%,20.9%,.385,.335,.412,2642,2175,.309,.416,.547,.963,672,418,118,9,127
1,Missouri,35.1%,22.5%,19.8%,35.1%,35.2%,19.8%,44.7%,28.0%,33.1%,7.5,86.0,36%,17.0%,9.2%,25.2%,.288,.281,.346,2100,1756,.265,.367,.415,.782,465,322,75,15,53
1,Louisiana State,30.3%,18.4%,13.5%,30.0%,39.0%,13.5%,39.0%,21.2%,40.7%,12.8,89.4,44%,21.3%,13.0%,18.7%,.355,.324,.395,2779,2265,.296,.410,.502,.911,671,422,136,10,103
1,Ole Miss,39.8%,22.8%,21.5%,39.5%,42.2%,21.5%,45.0%,23.2%,38.4%,11.9,89.3,45%,21.6%,13.0%,23.0%,.363,.323,.397,2651,2168,.287,.404,.515,.919,622,386,102,10,124
1,Florida,35.8%,21.0%,19.7%,35.1%,36.2%,19.7%,46.0%,22.0%,38.9%,11.1,89.8,47%,21.6%,11.7%,20.8%,.366,.327,.393,2408,2001,.294,.403,.502,.905,589,366,124,5,94
1,Mississippi State,32.2%,18.0%,16.2%,32.1%,40.6%,16.2%,43.4%,23.1%,39.2%,10.0,88.1,43%,21.6%,10.5%,21.0%,.360,.318,.401,2347,1973,.304,.401,.530,.931,599,365,125,6,103
1,South Carolina,35.4%,21.5%,23.0%,35.6%,38.3%,23.0%,46.2%,23.1%,37.9%,8.2,88.6,41%,18.5%,10.8%,20.9%,.327,.303,.348,2195,1841,.267,.369,.420,.789,491,333,92,8,58
1,Auburn,28.7%,19.2%,16.2%,28.1%,36.4%,16.2%,43.5%,25.9%,36.4%,10.4,89.5,46%,20.5%,11.6%,17.6%,.368,.327,.395,2489,2066,.303,.409,.501,.910,627,401,132,6,88
1,Tennessee,28.4%,16.0%,19.1%,28.2%,39.5%,19.1%,43.8%,24.1%,38.3%,13.5,90.0,47%,22.9%,13.7%,19.2%,.365,.327,.409,2614,2151,.300,.410,.547,.957,646,387,119,9,131
1,Oklahoma,32.9%,18.2%,17.8%,32.3%,40.8%,17.8%,41.0%,24.1%,37.6%,10.2,87.5,39%,19.5%,13.0%,20.7%,.310,.299,.369,2380,1971,.278,.388,.454,.842,548,361,98,19,70
1,Texas,37.6%,18.9%,18.3%,38.3%,37.5%,18.3%,39.7%,22.8%,39.1%,9.9,88.1,45%,21.8%,12.7%,23.6%,.338,.307,.375,2351,1979,.275,.384,.480,.863,544,320,128,11,85
1,Kentucky,32.9%,19.2%,18.5%,32.1%,35.6%,18.5%,44.0%,26.7%,35.8%,11.8,85.9,39%,19.1%,10.5%,18.6%,.323,.317,.364,2315,1842,.270,.393,.427,.820,497,331,97,14,55
1,Vanderbilt,34.9%,22.3%,21.0%,35.7%,39.1%,21.0%,43.3%,22.6%,36.7%,10.0,87.6,42%,18.9%,11.5%,22.4%,.325,.302,.351,2333,1955,.264,.369,.427,.796,516,345,89,16,66
1,Georgia,36.9%,23.0%,22.3%,36.9%,46.0%,22.3%,43.0%,21.3%,45.9%,13.7,89.9,47%,23.7%,12.4%,22.7%,.402,.346,.417,2466,2015,.288,.411,.564,.975,581,321,108,8,144
1,West Virginia,32.1%,13.6%,15.2%,32.7%,37.5%,15.2%,44.7%,24.4%,37.2%,10.5,88.9,43%,19.2%,11.0%,16.8%,.358,.317,.371,2489,2080,.296,.394,.452,.846,616,422,123,11,60
1,UCLA,27.0%,14.0%,14.0%,27.0%,33.9%,14.0%,40.5%,24.2%,36.0%,8.8,87.3,40%,19.2%,11.6%,15.8%,.342,.324,.384,2740,2217,.296,.411,.464,.875,656,452,113,13,78
1,Florida State,36.5%,17.3%,23.8%,36.6%,32.8%,23.8%,47.3%,23.8%,34.9%,9.1,90.8,49%,23.1%,11.3%,22.2%,.402,.336,.401,2363,2003,.311,.405,.524,.929,622,409,102,7,104
1,North Carolina,31.2%,15.9%,19.1%,31.6%,33.4%,19.1%,42.1%,25.9%,33.5%,11.7,89.4,43%,20.6%,13.2%,19.1%,.328,.311,.383,2522,2070,.290,.401,.478,.880,600,399,99,15,87
1,North Carolina State,29.8%,14.5%,13.9%,28.6%,40.7%,13.9%,41.0%,20.3%,41.1%,11.5,87.5,41%,19.4%,12.3%,15.1%,.328,.309,.380,2245,1856,.291,.395,.477,.872,541,347,116,6,72
1,Wake Forest,31.6%,20.3%,17.4%,31.9%,34.0%,17.4%,39.0%,23.2%,37.1%,12.0,88.3,42%,20.3%,15.1%,19.7%,.364,.334,.416,2580,2074,.306,.427,.540,.967,635,390,121,8,116
