Rank,team,IP,RA9-ERA,ERA,RA/9,WHIP,FIP,xFIP_TM,wOBA,xWOBA,K%,BB%,K%-BB%,CSW%,FPStk%,InZone%,Chase%,HardHit%,Barrel%,GB/FB
1,Alabama,505.1,0.55,5.13,5.68,1.47,4.42,4.08,.339,.288,23.5%,9.9%,13.7%,31.8%,59.3%,45.8%,26.5%,41%,19.6%,0.77
1,Texas A&M,471.0,0.59,4.30,4.89,1.27,4.11,3.70,.321,.274,24.4%,7.4%,17.1%,35.4%,62.9%,50.8%,27.3%,39%,19.6%,0.66
1,Arkansas,557.2,0.32,3.84,4.16,1.19,3.45,3.14,.300,.257,29.9%,8.2%,21.7%,35.0%,61.6%,47.2%,26.7%,38%,17.3%,0.74
1,Missouri,448.1,0.76,9.19,9.96,1.97,6.77,5.57,.422,.343,19.6%,12.5%,7.1%,30.4%,56.8%,43.2%,24.5%,40%,19.8%,0.65
1,Louisiana State,584.2,0.46,3.73,4.19,1.27,3.40,3.34,.294,.257,30.0%,10.6%,19.4%,32.8%,59.0%,46.6%,26.7%,37%,17.1%,0.81
1,Ole Miss,558.0,0.95,4.63,5.58,1.42,4.11,3.77,.335,.272,26.6%,10.1%,16.5%,32.3%,61.2%,45.2%,27.0%,38%,18.1%,0.78
1,Florida,508.0,0.64,4.91,5.55,1.44,4.11,3.70,.330,.274,28.2%,11.0%,17.2%,32.7%,58.0%,43.8%,26.1%,40%,17.9%,0.68
1,Mississippi State,496.2,0.80,4.46,5.26,1.29,3.74,3.30,.310,.255,29.9%,9.8%,20.1%,32.2%,59.6%,45.5%,27.1%,40%,17.1%,0.84
1,South Carolina,483.1,0.76,6.41,7.17,1.58,5.77,4.71,.370,.317,22.5%,11.7%,10.8%,29.7%,58.0%,45.9%,23.6%,42%,19.8%,0.74
1,Auburn,528.2,0.51,4.70,5.21,1.32,4.01,3.84,.325,.280,25.1%,8.6%,16.6%,34.0%,60.5%,47.7%,25.8%,39%,17.7%,0.73
1,Tennessee,552.1,0.81,4.06,4.87,1.29,3.69,3.16,.310,.255,30.7%,9.7%,21.0%,33.4%,61.1%,46.9%,26.6%,40%,16.1%,0.87
1,Oklahoma,516.0,0.91,4.47,5.37,1.36,3.97,3.85,.325,.279,25.6%,9.3%,16.3%,31.3%,60.9%,44.8%,27.4%,38%,17.1%,0.88
1,Texas,514.2,0.65,3.72,4.37,1.18,4.11,4.02,.302,.278,23.9%,9.1%,14.8%,33.1%,60.6%,47.7%,26.3%,38%,14.6%,0.88
1,Kentucky,499.0,0.52,4.64,5.16,1.37,4.20,4.08,.318,.277,23.2%,10.4%,12.8%,32.0%,59.2%,43.4%,26.2%,38%,18.6%,0.73
1,Vanderbilt,521.0,0.40,3.75,4.15,1.21,3.77,3.30,.308,.267,31.0%,9.5%,21.5%,31.9%,60.5%,45.4%,28.1%,40%,18.9%,0.63
1,Georgia,516.2,0.38,4.93,5.31,1.38,4.59,3.86,.331,.278,27.7%,11.7%,15.9%,32.4%,57.7%,45.8%,23.8%,40%,19.2%,0.80
1,Florida State,497.0,0.36,4.76,5.12,1.37,4.28,3.87,.329,.286,27.5%,11.5%,15.9%,31.2%,56.8%,43.0%,27.0%,38%,19.3%,0.78
1,North Carolina,535.0,0.66,3.48,4.14,1.25,3.92,3.83,.297,.275,23.6%,9.0%,14.6%,31.5%,58.1%,44.1%,25.1%,41%,20.5%,0.68
1,North Carolina State,470.0,0.92,5.13,6.05,1.46,4.18,3.91,.342,.290,24.3%,9.0%,15.3%,32.8%,58.1%,45.9%,27.2%,39%,18.3%,0.79
1,Wake Forest,518.2,1.01,5.01,6.02,1.45,4.26,4.10,.318,.285,26.9%,13.0%,13.9%,31.8%,56.8%,44.5%,24.5%,37%,15.4%,0.78
1,West Virginia,534.0,0.72,4.67,5.39,1.40,4.64,4.41,.329,.291,22.9%,11.2%,11.7%,31.7%,58.6%,45.1%,26.1%,36%,17.0%,0.75
1,UCLA,578.0,0.39,4.53,4.92,1.38,4.77,4.49,.331,.291,20.2%,10.3%,9.9%,30.5%,55.7%,44.0%,22.7%,36%,16.9%,0.74
