date,inn,count,outs,trackmanPitchUID,TrackmanGameID,playGuid,TeamId,GameID,ContactY,ContactX,CThrowDownLineDist,ContactZ,PickAttBase,SBA2,SBA3,CTimeToBase,CThrowBase,CExchTime,CThrowHeight,CThrowSpd,DelivTime,ForwVel,HangTime,BrkY,SB3,SB2,xWOBA,LandAng,ABResult,xSLG,xISO,xAVG,PitchHand,BatterHand,PopTime,PlayDesc,ManOn2nd,ManOn3rd,ManOn1st,PZNorm,PXNorm,Tilt,SpinDir,RelX,RelZ,HorzRelAngle,HorzApprAngle,VertRelAngle,VertApprAngle,IndVertBrk,HRDst,HorzBrk,FBDst,ExitDir,Extension,pitcher,batter,type,pitchResult,Vel,Spin,ExitVel,LaunchAng,pCallStrk%
2025-05-20 01:00:00,Bot 1,0-0,1,dcbd4020-3588-11f0-a93f-c16a47c07950,20250520-HooverMetropolitan-1,257794396-pix-682e06ef982b80da2c766164-873-886,730206976,257794396,-,-,-,-,0,,,-,0,-,-,-,-,-,-,-,,,-,-,BB,-,-,-,R,R,-,,,,,-0.12500571428571408,1.4182023529411762,1:57,238.4,-27.6,66.1,-4.98,-2.27,-1.60,-5.39,10.2,-,14.9,-,-,6.89,Horn,Lebron,Splitter,Strike Looking,95.2,2149.1,-,-,78.4%
2025-05-20 01:00:00,Bot 1,0-1,1,e6a6f090-3588-11f0-a93f-c16a47c07950,20250520-HooverMetropolitan-1,257794396-pix-682e06ef982b80da2c766164-894-903,730206976,257794396,-,-,-,-,0,,,-,0,-,-,-,-,-,-,-,,,-,-,BB,-,-,-,R,R,-,,,,,-0.60776,0.2602729411764706,9:07,93.5,-26.7,65.3,-1.60,-3.67,-0.48,-7.29,1.9,-,-11.3,-,-,6.69,Horn,Lebron,Slider,Strike Looking,84.2,2021.3,-,-,97.9%
2025-05-20 01:00:00,Bot 1,0-2,1,f177f3c0-3588-11f0-a93f-c16a47c07950,20250520-HooverMetropolitan-1,257794396-pix-682e06ef982b80da2c766164-911-921,730206976,257794396,-,-,-,-,0,,,-,0,-,-,-,-,-,-,-,,,-,-,BB,-,-,-,R,R,-,,,,,-2.0428,3.106757647058823,7:39,49.4,-25.9,66.3,-4.10,-5.38,-1.42,-9.18,-4.9,-,-7.0,-,-,6.58,Horn,Lebron,Slider,Ball,85.8,2263.8,-,-,0.0%
2025-05-20 01:00:00,Bot 1,1-2,1,ff6c08e0-3588-11f0-a93f-c16a47c07950,20250520-HooverMetropolitan-1,257794396-pix-682e06ef982b80da2c766164-929-944,730206976,257794396,-,-,-,-,0,,,-,0,-,-,-,-,-,-,-,,,-,-,BB,-,-,-,R,R,-,,,,,-0.9642285714285713,1.6339764705882351,8:13,66.4,-28.6,65.4,-2.69,-5.02,-0.28,-8.13,-4.5,-,-12.8,-,-,6.49,Horn,Lebron,Slider,Ball,84.8,2225.0,-,-,11.0%
2025-05-20 01:00:00,Bot 1,2-2,1,0aabac60-3589-11f0-a93f-c16a47c07950,20250520-HooverMetropolitan-1,257794396-pix-682e06ef982b80da2c766164-952-963,730206976,257794396,-,-,-,-,0,,,-,0,-,-,-,-,-,-,-,,,-,-,BB,-,-,-,R,R,-,,,,,-0.7648114285714287,1.1889176470588234,1:37,228.7,-25.4,66.3,-4.53,-1.97,-2.67,-5.56,13.2,-,14.0,-,-,7.00,Horn,Lebron,Fastball,Ball,97.6,2202.5,-,-,81.5%
2025-05-20 01:00:00,Bot 1,3-2,1,16a8fa90-3589-11f0-a93f-c16a47c07950,20250520-HooverMetropolitan-1,257794396-pix-682e06ef982b80da2c766164-973-994,730206976,257794396,-,-,-,-,0,,,-,0,-,-,-,-,-,-,-,,,.697,-,BB,-,-,-,R,R,-,W,,,,-1.1961942857142858,0.4173458823529411,1:44,231.9,-27.3,65.6,-4.12,-1.53,-2.88,-6.08,12.0,-,14.1,-,-,7.05,Horn,Lebron,Fastball,Walk,96.6,2176.6,-,-,46.4%
2025-05-20 01:00:00,Bot 1,0-0,2,92420fc0-3589-11f0-a93f-c16a47c07950,20250520-HooverMetropolitan-1,257794396-pix-682e06ef982b80da2c766164-1177-1190,730206976,257794396,-,-,-,-,0,,,-,0,-,-,-,-,-,-,-,,,-,-,K,-,-,-,R,L,-,,1,,1,0.2903657142857143,0.8977411764705883,8:09,64.7,-30.1,64.7,-3.05,-3.84,0.63,-6.62,-0.8,-,-4.3,-,-,6.85,Horn,Hodo,Slider,Strike Looking,84.8,2130.3,-,-,92.4%
2025-05-20 01:00:00,Bot 1,0-1,2,9d249f20-3589-11f0-a93f-c16a47c07950,20250520-HooverMetropolitan-1,257794396-pix-682e06ef982b80da2c766164-1198-1210,730206976,257794396,-,-,-,-,0,,,-,0,-,-,-,-,-,-,-,,,-,-,K,-,-,-,R,L,-,,1,,1,-0.29497142857142883,0.9174494117647058,8:38,79.1,-26.9,65.4,-2.61,-3.72,-0.06,-7.16,0.1,-,-6.0,-,-,6.79,Horn,Hodo,Slider,Foul,84.8,2165.0,-,-,91.4%
2025-05-20 01:00:00,Bot 1,0-2,2,ae2223b0-3589-11f0-a93f-c16a47c07950,20250520-HooverMetropolitan-1,257794396-pix-682e06ef982b80da2c766164-1227-1238,730206976,257794396,-,-,-,-,0,,,-,0,-,-,-,-,-,-,-,,,-,-,K,-,-,-,R,L,-,,1,,1,-1.3233485714285713,0.9801599999999999,1:48,234.1,-26.1,66.2,-4.47,-1.85,-3.02,-6.28,11.3,-,14.3,-,-,7.06,Horn,Hodo,Fastball,Ball,97.3,2299.5,-,-,1.7%
2025-05-20 01:00:00,Bot 1,1-2,2,bc74d390-3589-11f0-a93f-c16a47c07950,20250520-HooverMetropolitan-1,257794396-pix-682e06ef982b80da2c766164-1251-1261,730206976,257794396,-,-,-,-,0,,,-,0,-,-,-,-,-,-,-,,,.000,-,K,.000,.000,.000,R,L,-,K/C,1,,1,-0.9588914285714285,-0.6252282352941176,1:20,220.2,-29.3,68.1,-3.35,-1.04,-3.20,-5.74,16.0,-,12.7,-,-,6.87,Horn,Hodo,Fastball,Strikeout (Looking),96.5,2282.1,-,-,79.0%
2025-05-20 01:00:00,Bot 1,0-0,1,2dfd6be0-3589-11f0-a93f-c16a47c07950,20250520-HooverMetropolitan-1,257794396-pix-682e06ef982b80da2c766164-1010-1022,730206976,257794396,-,-,-,-,0,,,-,0,-,-,-,-,-,-,-,,,-,-,FC,-,-,-,R,L,-,,,,1,-0.8220685714285713,1.7825929411764705,7:48,53.8,-28.6,65.8,-3.30,-4.67,-0.09,-8.17,-4.3,-,-7.5,-,-,6.77,Horn,Snell,Slider,Ball,83.2,2261.7,-,-,1.3%
2025-05-20 01:00:00,Bot 1,1-0,1,39ca3430-3589-11f0-a93f-c16a47c07950,20250520-HooverMetropolitan-1,257794396-pix-682e06ef982b80da2c766164-1030-1047,730206976,257794396,4.09,0.28,-,2.28,0,,,-,0,-,-,-,-,45.5,0.06s,-,,,.036,38.0,FC,.041,.001,.040,R,L,-,FC3.1X2(36),,,1,-0.5494171428571428,0.5241882352941176,1:45,232.5,-28.1,65.9,-4.12,-1.85,-2.13,-5.63,10.4,7.1,12.4,100.0,70.3,7.03,Horn,Snell,Fastball,Fielder's Choice,96.4,2166.4,51.3,-27.7,97.2%
2025-05-20 01:00:00,Bot 1,0-0,0,b164e810-3588-11f0-a93f-c16a47c07950,20250520-HooverMetropolitan-1,257794396-pix-682e06ef982b80da2c766164-804-813,730206976,257794396,-,-,-,-,0,,,-,0,-,-,-,-,-,-,-,,,-,-,IP_OUT,-,-,-,R,L,-,,,,,-0.7839542857142856,0.5346776470588235,1:55,237.3,-26.9,66.5,-4.09,-1.66,-2.21,-6.10,9.4,-,13.3,-,-,6.96,Horn,Fowler,Fastball,Strike Looking,94.5,2123.1,-,-,93.7%
