Player,Primary Focus Metrics,Strength Metric,Goals (measurable),Maintenance
Vaughn,ERA,,ERA: lower from 9.22 to ≤ 5.00,Establish weekly bullpen checkpoints and recovery standards
Lohse,ERA,,ERA: lower from 6.48 to ≤ 5.00,Establish weekly bullpen checkpoints and recovery standards
Jacobi,ERA,,ERA: lower from 10.03 to ≤ 5.00,Establish weekly bullpen checkpoints and recovery standards
Lovett,ERA,,ERA: lower from 6.31 to ≤ 5.00,Establish weekly bullpen checkpoints and recovery standards
McDevitt,ERA,,ERA: lower from 9.53 to ≤ 5.00,Establish weekly bullpen checkpoints and recovery standards
Wissler,ERA,ERA,ERA: lower from 4.91 to ≤ 4.00,Maintain ERA at ≤ 4.91 with weekly bullpen checkpoints
Smith,,ERA,Set initial baselines this week,Maintain ERA at ≤ 2.45 with weekly bullpen checkpoints
Smith,ERA,,ERA: lower from 9.45 to ≤ 5.00,Establish weekly bullpen checkpoints and recovery standards
Lucas,ERA,,ERA: lower from 8.94 to ≤ 5.00,Establish weekly bullpen checkpoints and recovery standards
Neubeck,ERA,,ERA: lower from 16.62 to ≤ 5.00,Establish weekly bullpen checkpoints and recovery standards
Horn,ERA,ERA,ERA: lower from 4.22 to ≤ 4.00,Maintain ERA at ≤ 4.22 with weekly bullpen checkpoints
Libbert,ERA,,ERA: lower from 6.04 to ≤ 5.00,Establish weekly bullpen checkpoints and recovery standards
Kehlenbrink,ERA,,ERA: lower from 10.06 to ≤ 5.00,Establish weekly bullpen checkpoints and recovery standards
Drew,ERA,,ERA: lower from 6.09 to ≤ 5.00,Establish weekly bullpen checkpoints and recovery standards
McCartney,ERA,,ERA: lower from 23.73 to ≤ 5.00,Establish weekly bullpen checkpoints and recovery standards
Green,ERA,,ERA: lower from 6.49 to ≤ 5.00,Establish weekly bullpen checkpoints and recovery standards
Kirchhoff,ERA,,ERA: lower from 23.14 to ≤ 5.00,Establish weekly bullpen checkpoints and recovery standards
Christal,ERA,,ERA: lower from 15.83 to ≤ 5.00,Establish weekly bullpen checkpoints and recovery standards
Merchant,ERA,,ERA: lower from 54.00 to ≤ 5.00,Establish weekly bullpen checkpoints and recovery standards
