Player,ERA,K%-BB%,CSW%,FPStk%,Chase%,HardHit%,Barrel%
Vaughn,Development,N/A,N/A,N/A,N/A,N/A,N/A
Lohse,Development,N/A,N/A,N/A,N/A,N/A,N/A
Jacobi,Development,N/A,N/A,N/A,N/A,N/A,N/A
Lovett,Development,N/A,N/A,N/A,N/A,N/A,N/A
McDevitt,Development,N/A,N/A,N/A,N/A,N/A,N/A
Wissler,Solid,N/A,N/A,N/A,N/A,N/A,N/A
Smith,Elite,N/A,N/A,N/A,N/A,N/A,N/A
Smith,Development,N/A,N/A,N/A,N/A,N/A,N/A
Lucas,Development,N/A,N/A,N/A,N/A,N/A,N/A
Neubeck,Development,N/A,N/A,N/A,N/A,N/A,N/A
Horn,Solid,N/A,N/A,N/A,N/A,N/A,N/A
Libbert,Development,N/A,N/A,N/A,N/A,N/A,N/A
Kehlenbrink,Development,N/A,N/A,N/A,N/A,N/A,N/A
Drew,Development,N/A,N/A,N/A,N/A,N/A,N/A
McCartney,Development,N/A,N/A,N/A,N/A,N/A,N/A
Green,Development,N/A,N/A,N/A,N/A,N/A,N/A
Kirchhoff,Development,N/A,N/A,N/A,N/A,N/A,N/A
Christal,Development,N/A,N/A,N/A,N/A,N/A,N/A
Merchant,Development,N/A,N/A,N/A,N/A,N/A,N/A
